Observacao,despesas_com_alimentacao,despesas_total
1,217,382
2,196,388
3,303,391
4,270,415
5,325,456
6,260,460
7,300,472
8,325,478
9,336,494
10,345,516
11,325,525
12,362,554
13,315,575
14,355,579
15,325,585
16,370,586
17,390,590
18,420,608
19,410,610
20,383,616
21,315,618
22,267,623
23,420,627
24,300,630
25,410,635
26,220,640
27,403,648
28,350,650
29,390,655
30,385,662
31,470,663
32,322,677
33,540,680
34,433,690
35,295,695
36,340,695
37,500,695
38,450,720
39,415,721
40,540,730
41,360,731
42,450,733
43,395,745
44,430,751
45,332,752
46,397,752
47,446,769
48,480,773
49,352,773
50,410,775
51,380,785
52,610,788
53,530,790
54,360,795
55,305,801
